"","title","author","subject","abstract","meta"
"1","The Sample Average Approximation Method for Solving Two-Stage Stochastic Programs with Endogenous Uncertainty","Maria Bazotte, Margarida Carvalho, Thibaut Vidal","Optimization and Control (math.OC)","Real-world decision-making problems involve Type 1 decision-dependent uncertainty, where the probability distribution of the stochastic process depends on the model decisions. However, few studies focus on two-stage stochastic programs with this type of endogenous uncertainty, and those that do lack general methodologies. We thus propose herein a general method for solving a class of these programs based on the transformation of random variables, a technique widely employed in probability and statistics. The proposed method is tailored to large-scale problems with discrete or continuous endogenous random variables. The random variable transformation allows the use of the sample average approximation (SAA) method, which provides optimality convergence guarantees under certain conditions. We show that, for some classical distributions, the proposed method reduces to solving mixed-integer linear or convex programs. Finally, we validate this method by applying it to a network design and facility-protection problem, considering distinct decision-dependent distributions for the random variables. Whereas most distributions result in a nonlinear nonconvex deterministic equivalent program, the proposed method solves mixed-integer linear programs in all cases. In addition, it produces attractive performance estimators for the SAA method in a reasonable computational time and outperforms the case in which the endogenous distribution defines a mixed-integer deterministic equivalent.","Fri, 23 Feb 2024 18:26:16 UTC (86 KB)"
"2","Dynamical systems of an infinite-dimensional non-linear operator","U.R. Olimov, U.A. Rozikov","Dynamical Systems (math.DS)","We investigate discrete-time dynamical systems generated by an infinite-dimensional non-linear operator that maps the Banach space $l_1$ to itself. It is demonstrated that this operator possesses up to seven fixed points. By leveraging the specific form of our operator, we illustrate that analyzing the operator can be simplified to a two-dimensional approach. Subsequently, we provide a detailed description of all fixed points, invariant sets for the two-dimensional operator and determine the set of limit points for its trajectories. These results are then applied to find the set of limit points for trajectories generated by the infinite-dimensional operator.","Fri, 23 Feb 2024 18:15:30 UTC (18 KB)"
"3","Some results involving the $A_α$-eigenvalues for graphs and line graphs","Joao Domingos Gomes da Silva Junior, Carla Silva Oliveira, Liliana Manuela Gaspar C. da Costa","Discrete Mathematics (cs.DM)","Let $G$ be a simple graph with adjacency matrix $A(G)$, signless Laplacian matrix $Q(G)$, degree diagonal matrix $D(G)$ and let $l(G)$ be the line graph of $G$. In 2017, Nikiforov defined the $A_\alpha$-matrix of $G$, $A_\alpha(G)$, as a linear convex combination of $A(G)$ and $D(G)$, the following way, $A_\alpha(G):=\alpha A(G)+(1-\alpha)D(G),$ where $\alpha\in[0,1]$. In this paper, we present some bounds for the eigenvalues of $A_\alpha(G)$ and for the largest and smallest eigenvalues of $A_\alpha(l(G))$. Extremal graphs attaining some of these bounds are characterized.","Fri, 23 Feb 2024 18:01:35 UTC (549 KB)"
"4","High-order accurate positivity-preserving and well-balanced discontinuous Galerkin schemes for ten-moment Gaussian closure equations with source terms","Jiangfu Wang, Huazhong Tang, Kailiang Wu","Numerical Analysis (math.NA)","This paper proposes novel high-order accurate discontinuous Galerkin (DG) schemes for the one- and two-dimensional ten-moment Gaussian closure equations with source terms defined by a known potential function. Our DG schemes exhibit the desirable capability of being well-balanced (WB) for a known hydrostatic equilibrium state while simultaneously preserving positive density and positive-definite anisotropic pressure tensor. The well-balancedness is built on carefully modifying the solution states in the Harten-Lax-van Leer-contact (HLLC) flux, and appropriate reformulation and discretization of the source terms. Our novel modification technique overcomes the difficulties posed by the anisotropic effects, maintains the high-order accuracy, and ensures that the modified solution state remains within the physically admissible state set. Positivity-preserving analyses of our WB DG schemes are conducted by using several key properties of the admissible state set, the HLLC flux and the HLLC solver, as well as the geometric quasilinearization (GQL) approach in [Wu & Shu, SIAM Review, 65: 1031-1073, 2023], which was originally applied to analyze the admissible state set and physical-constraints-preserving schemes for the relativistic magnetohydrodynamics in [Wu & Tang, M3AS, 27: 1871-1928, 2017], to address the difficulties arising from the nonlinear constraints on pressure tensor. Moreover, the proposed WB DG schemes satisfy the weak positivity for the cell averages, implying the use of a scaling limiter to enforce the physical admissibility of the DG solution polynomials at certain points of interest. Extensive numerical experiments are conducted to validate the preservation of equilibrium states, accuracy in capturing small perturbations to such states, robustness in solving problems involving low density or low pressure, and high resolution for both smooth and discontinuous solutions.","Fri, 23 Feb 2024 17:16:02 UTC (8,227 KB)"
"5","Entanglement-assisted classical capacities of some channels acting as radial multipliers on fermion algebras","Cédric Arhancet","Quantum Physics (quant-ph)","We investigate a new class of unital quantum channels on $\mathrm{M}_{2^k}$, acting as radial multipliers when we identify the matrix algebra $\mathrm{M}_{2^k}$ with a finite-dimensional fermion algebra. Our primary contribution lies in the precise computation of the (optimal) rate at which classical information can be transmitted through these channels from a sender to receiver when they share an unlimited amount of noiseless entanglement. Our approach relies on new connections between fermions algebras with the $n$-dimensional discrete hypercube $\{-1,1\}^n$ and more generally the Cantor group. Significantly, our calculations yield exact values applicable to the operators of the fermionic Ornstein-Uhlenbeck semigroup. This advancement not only provides deeper insights into the structure and behaviour of these channels but also enhances our understanding of Quantum Information Theory in a dimension-independent context.","Fri, 23 Feb 2024 16:58:31 UTC (59 KB)"
"6","GQL-Based Bound-Preserving and Locally Divergence-Free Central Discontinuous Galerkin Schemes for Relativistic Magnetohydrodynamics","Shengrong Ding, Kailiang Wu","Numerical Analysis (math.NA)","This paper develops novel and robust central discontinuous Galerkin (CDG) schemes of arbitrarily high-order accuracy for special relativistic magnetohydrodynamics (RMHD) with a general equation of state (EOS). These schemes are provably bound-preserving (BP), i.e., consistently preserve the upper bound for subluminal fluid velocity and the positivity of density and pressure, while also (locally) maintaining the divergence-free (DF) constraint for the magnetic field. For 1D RMHD, the standard CDG method is exactly DF, and its BP property is proven under a condition achievable by BP limiter. For 2D RMHD, we design provably BP and locally DF CDG schemes based on the suitable discretization of a modified RMHD system. A key novelty in our schemes is the discretization of additional source terms in the modified RMHD equations, so as to precisely counteract the influence of divergence errors on the BP property across overlapping meshes. We provide rigorous proofs of the BP property for our CDG schemes and first establish the theoretical connection between BP and discrete DF properties on overlapping meshes for RMHD. Owing to the absence of explicit expressions for primitive variables in terms of conserved variables, the constraints of physical bounds are strongly nonlinear, making the BP proofs highly nontrivial. We overcome these challenges through technical estimates within the geometric quasilinearization (GQL) framework, which converts the nonlinear constraints into linear ones. Furthermore, we introduce a new 2D cell average decomposition on overlapping meshes, which relaxes the theoretical BP CFL constraint and reduces the number of internal nodes, thereby enhancing the efficiency of the 2D BP CDG method. We implement the proposed CDG schemes for extensive RMHD problems with various EOSs, demonstrating their robustness and effectiveness in challenging scenarios.","Fri, 23 Feb 2024 16:56:01 UTC (9,672 KB)"
"7","On Minimal Depth in Neural Networks","Juan L. Valerdi","Machine Learning (cs.LG)","A characterization of the representability of neural networks is relevant to comprehend their success in artificial intelligence. This study investigate two topics on ReLU neural network expressivity and their connection with a conjecture related to the minimum depth required for representing any continuous piecewise linear function (CPWL). The topics are the minimal depth representation of the sum and max operations, as well as the exploration of polytope neural networks. For the sum operation, we establish a sufficient condition on the minimal depth of the operands to find the minimal depth of the operation. In contrast, regarding the max operation, a comprehensive set of examples is presented, demonstrating that no sufficient conditions, depending solely on the depth of the operands, would imply a minimal depth for the operation. The study also examine the minimal depth relationship between convex CPWL functions. On polytope neural networks, we investigate several fundamental properties, deriving results equivalent to those of ReLU networks, such as depth inclusions and depth computation from vertices. Notably, we compute the minimal depth of simplices, which is strictly related to the minimal depth conjecture in ReLU networks.","Fri, 23 Feb 2024 13:34:03 UTC (17 KB)"
"8","Generative Modelling with Tensor Train approximations of Hamilton--Jacobi--Bellman equations","David Sommer, Robert Gruhlke, Max Kirstein, Martin Eigel, Claudia Schillings","Machine Learning (stat.ML)","Sampling from probability densities is a common challenge in fields such as Uncertainty Quantification (UQ) and Generative Modelling (GM). In GM in particular, the use of reverse-time diffusion processes depending on the log-densities of Ornstein-Uhlenbeck forward processes are a popular sampling tool. In Berner et al. [2022] the authors point out that these log-densities can be obtained by solution of a \textit{Hamilton-Jacobi-Bellman} (HJB) equation known from stochastic optimal control. While this HJB equation is usually treated with indirect methods such as policy iteration and unsupervised training of black-box architectures like Neural Networks, we propose instead to solve the HJB equation by direct time integration, using compressed polynomials represented in the Tensor Train (TT) format for spatial discretization. Crucially, this method is sample-free, agnostic to normalization constants and can avoid the curse of dimensionality due to the TT compression. We provide a complete derivation of the HJB equation's action on Tensor Train polynomials and demonstrate the performance of the proposed time-step-, rank- and degree-adaptive integration method on a nonlinear sampling task in 20 dimensions.","Fri, 23 Feb 2024 12:30:20 UTC (1,986 KB)"
"9","A unified constraint formulation of immersed body techniques for coupled fluid-solid motion: continuous equations and numerical algorithms","Amneet Pal Singh Bhalla, Neelesh A. Patankar","Numerical Analysis (math.NA)","Numerical simulation of moving immersed solid bodies in fluids is now practiced routinely following pioneering work of Peskin and co-workers on immersed boundary method (IBM), Glowinski and co-workers on fictitious domain method (FDM), and others on related methods. A variety of variants of IBM and FDM approaches have been published, most of which rely on using a background mesh for the fluid equations and tracking the solid body using Lagrangian points. The key idea that is common to these methods is to assume that the entire fluid-solid domain is a fluid and then to constrain the fluid within the solid domain to move in accordance with the solid governing equations. The immersed solid body can be rigid or deforming. Thus, in all these methods the fluid domain is extended into the solid domain. In this review, we provide a mathemarical perspective of various immersed methods by recasting the governing equations in an extended domain form for the fluid. The solid equations are used to impose appropriate constraints on the fluid that is extended into the solid domain. This leads to extended domain constrained fluid-solid governing equations that provide a unified framework for various immersed body techniques. The unified constrained governing equations in the strong form are independent of the temporal or spatial discretization schemes. We show that particular choices of time stepping and spatial discretization lead to different techniques reported in literature ranging from freely moving rigid to elastic self-propelling bodies. These techniques have wide ranging applications including aquatic locomotion, underwater vehicles, car aerodynamics, and organ physiology (e.g. cardiac flow, esophageal transport, respiratory flows), wave energy convertors, among others. We conclude with comments on outstanding challenges and future directions.","Fri, 23 Feb 2024 07:48:07 UTC (1,392 KB)"
"10","The Runge--Kutta discontinuous Galerkin method with stage-dependent polynomial spaces for hyperbolic conservation laws","Qifan Chen, Zheng Sun, Yulong Xing","Numerical Analysis (math.NA)","In this paper, we present a novel class of high-order Runge--Kutta (RK) discontinuous Galerkin (DG) schemes for hyperbolic conservation laws. The new method extends beyond the traditional method of lines framework and utilizes stage-dependent polynomial spaces for the spatial discretization operators. To be more specific, two different DG operators, associated with $\mathcal{P}^k$ and $\mathcal{P}^{k-1}$ piecewise polynomial spaces, are used at different RK stages. The resulting method is referred to as the sdRKDG method. It features fewer floating-point operations and may achieve larger time step sizes. For problems without sonic points, we observe optimal convergence for all the sdRKDG schemes; and for problems with sonic points, we observe that a subset of the sdRKDG schemes remains optimal. We have also conducted von Neumann analysis for the stability and error of the sdRKDG schemes for the linear advection equation in one dimension. Numerical tests, for problems including two-dimensional Euler equations for gas dynamics, are provided to demonstrate the performance of the new method.","Fri, 23 Feb 2024 07:18:22 UTC (3,971 KB)"
